3.985794633626937866e-02	4.188657794902822529e-03
8.502268791198730469e-02	4.151940424072218978e-03
1.185451522469520569e-01	4.437429472245846274e-03
1.324751526117324829e-01	4.324505414177206609e-03
1.328009516000747681e-01	4.557113193982362948e-03
1.258508563041687012e-01	4.116361964192534646e-03
1.403363645076751709e-01	3.648164894049258852e-03
1.387096494436264038e-01	3.819305382247880319e-03
1.475615501403808594e-01	3.881187425488947813e-03
1.419405490159988403e-01	3.793040098077223553e-03
